city_id,city_pop,culture_type,removed_pop
310000,1363444,L,327226
530900,234066,G,56175
530700,120228,G,28854
530500,252330,G,60559
532900,351559,G,84374
533100,111742,G,26818
533300,51703,G,12408
532600,368740,G,88497
530100,516042,G,123850
530600,573474,J,137633
530800,248470,G,59632
530300,625470,G,150112
532300,260928,G,62622
530400,214441,G,51465
532500,440664,G,105759
532800,93574,G,22458
533400,35851,G,8604
150900,286448,B,68747
150300,44881,B,10771
152200,166648,B,39995
150200,218625,B,52470
150700,271410,B,65138
150100,229514,B,55083
150800,185953,B,44628
150400,457442,B,109786
150500,318827,B,76518
150600,152129,B,36511
152500,100595,B,24142
152900,19305,B,4633
110000,1262048,E,302891
220200,434011,X,104162
220300,340328,X,81678
222400,218896,X,52535
220700,289872,X,69569
220800,202905,X,48697
220600,103791,X,24910
220400,121921,X,29261
220500,227190,X,54525
220100,757524,X,181805
511100,355320,J,85277
511000,423992,J,101758
513400,477456,F,114589
511300,746520,J,179164
511500,541543,J,129970
511900,385397,J,92495
510800,312201,J,74928
511600,466565,J,111975
510600,387100,J,92904
510100,1151639,J,276393
510400,110995,G,26639
510500,504393,J,121054
513300,105171,F,25241
511400,347248,J,83339
510700,541600,J,129984
510300,323868,J,77728
512000,501493,J,120358
511700,684930,J,164383
510900,380439,J,91305
513200,89945,F,21586
511800,155041,J,37209
120000,988907,E,237337
640500,109799,D,26351
640300,136871,D,32849
640400,159927,D,38382
640200,74460,B,17870
640100,158040,D,37929
341600,598824,E,143717
341500,705470,E,169312
340100,492814,E,118275
340800,615768,L,147784
341800,276771,L,66425
341300,639673,E,153521
341700,159244,L,38218
340600,219922,E,52781
340400,198903,E,47736
341100,447580,E,107419
340200,231646,L,55595
340300,362059,E,86894
340700,73999,L,17760
341200,1010129,E,242431
340500,127011,L,30482
341000,147711,L,35450
370500,183944,E,44146
371300,1072097,E,257303
371000,252277,E,60546
371400,567822,E,136277
371100,287701,E,69048
370400,389973,E,93593
370900,557595,E,133823
370100,605041,E,145209
370800,838946,E,201347
370300,423209,E,101570
371600,376209,E,90290
370700,873120,E,209548
370600,646506,E,155161
371500,597290,E,143349
371700,961325,E,230718
370200,759319,E,182236
141000,436414,D,104739
141100,383091,D,91942
140200,317106,D,76105
140100,365133,D,87631
140900,306438,D,73545
140700,320387,D,76893
140500,215972,D,51833
140600,158628,D,38070
140800,504087,D,120980
140400,324097,D,77783
140300,130064,D,31215
441900,184831,M,44359
442000,151191,M,36285
445300,283245,M,67978
440600,379352,M,91044
440100,791892,M,190054
441300,334578,M,80298
445200,670031,M,160807
441400,514896,M,123575
440500,114011,M,27362
441500,343410,M,82418
440700,392408,M,94178
441600,356261,M,85502
440300,261003,M,62640
441800,415927,M,99822
440800,760386,M,182492
445100,259407,M,62257
440400,105631,M,25351
441200,421211,M,101090
440900,745945,M,179026
441700,279450,M,67068
440200,329164,M,78999
450500,165382,M,39691
450100,705763,M,169383
451400,243042,M,58330
451300,262558,M,63014
450200,372049,M,89291
450300,473440,M,113625
450400,325787,M,78189
451200,419167,M,100600
450900,672483,M,161396
451000,404839,M,97161
450800,524624,M,125909
451100,180165,M,43239
450700,387427,M,92982
450600,90750,M,21780
650100,241252,C,57900
659004,4322,C,1037
654000,279960,C,67190
653000,50415,C,12099
650200,27721,C,6653
652700,47933,C,11504
650400,63403,C,15216
653200,203190,C,48765
650500,56876,C,13650
653100,401487,C,96357
659003,14884,C,3572
654200,102157,C,24517
652800,131463,C,31551
652300,139794,C,33550
659001,62458,C,14990
652900,232200,C,55728
654300,65502,C,15720
659002,19776,C,4746
320100,627007,L,150481
320600,762734,L,183056
321300,546068,E,131056
320400,359713,L,86331
320300,843465,E,202431
321000,457876,L,109890
320200,467229,L,112135
321200,506120,L,121468
320800,541353,E,129924
320900,823593,E,197662
320500,637497,L,152999
320700,472628,E,113430
321100,269461,L,64670
361100,739570,L,177496
360400,497911,L,119498
360100,503452,L,120828
360800,493583,L,118460
360900,558369,L,134008
361000,401886,L,96452
360500,117210,L,28130
360200,158690,L,38085
360300,188117,L,45148
360700,905563,L,217335
360600,119763,L,28743
130600,1038627,E,249270
130200,730251,E,175260
131000,417928,E,100302
130700,464167,E,111400
130800,371256,E,89101
130900,728523,E,174845
130100,989672,E,237521
130300,287636,E,69032
131100,440020,E,105604
130500,731312,E,175514
130400,963832,E,231319
411200,223131,D,53551
411500,610925,E,146622
411300,937776,E,225066
411600,892656,E,214237
411400,722665,E,173439
410500,516977,E,124074
410400,487715,E,117051
410200,468342,E,112402
410700,571110,E,137066
410300,657251,E,157740
411100,256311,E,61514
410900,358704,E,86089
410800,419968,E,100792
411000,432566,E,103815
410100,868032,E,208327
411700,724467,E,173872
410600,158615,E,38067
331100,259379,L,62251
331000,578999,L,138959
330400,346204,L,83089
330200,492492,L,118198
330100,1220258,L,292862
330300,782786,L,187868
330500,261710,L,62810
330600,439413,L,105459
330900,89782,L,21547
330800,251170,L,60280
330700,466860,L,112046
469006,61005,M,14641
460200,56132,M,13471
469007,43770,M,10505
469024,48312,M,11594
469027,53493,M,12838
469001,11433,M,2743
469029,16971,M,4073
460400,105732,M,25375
469021,33275,M,7986
469022,30489,M,7317
469005,58124,M,13950
469026,26789,M,6429
460100,158943,M,38146
469023,55155,M,13237
469030,22923,M,5501
469002,49404,M,11857
469025,20512,M,4923
469028,36654,M,8797
429004,118786,K,28508
420300,301806,K,72433
421200,244093,K,58582
429006,139458,K,33470
420900,470946,K,113027
420500,398893,K,95734
422800,287034,K,68888
420100,796907,K,191257
429005,93316,K,22396
429021,7609,K,1826
421000,571920,K,137261
420800,285855,K,68605
420600,548086,K,131540
420700,103580,K,24859
421300,137493,K,32998
421100,612145,K,146915
420200,245224,K,58853
431300,374694,K,89926
430600,544464,K,130671
430700,575078,K,138018
430800,144787,K,34749
431200,460939,K,110625
430200,385115,K,92427
431100,513902,K,123336
430300,274264,K,65823
433100,255744,K,61378
430900,434365,K,104247
430400,698654,K,167677
430500,676089,K,162261
431000,452137,K,108513
430100,704527,K,169086
622900,212049,D,50892
620100,321393,D,77134
620200,21101,D,5064
620500,369508,D,88682
621100,297416,D,71380
620800,231457,D,55549
621000,259078,D,62178
620700,131416,D,31540
620600,190298,D,45671
623000,72935,D,17504
620400,178684,D,42884
620900,100241,C,24057
620300,45125,D,10830
621200,280556,D,67333
350400,272031,M,65287
350700,312113,M,74907
350200,172223,M,41333
350900,333044,M,79930
350500,558880,M,134131
350600,580060,M,139214
350100,632774,M,151865
350300,315342,M,75682
350800,295039,M,70809
540500,34025,F,8166
540100,48237,F,11577
540200,72285,F,17348
540300,66629,F,15991
540400,17590,F,4221
540600,32828,F,7878
542500,8549,F,2051
520200,284761,G,68342
520500,654630,G,157111
520300,609694,G,146326
520600,296663,G,71199
522600,305468,G,73312
522300,318118,G,76348
210600,243141,X,58353
210200,588933,X,141343
210400,229704,X,55129
211300,338540,X,81249
210500,152873,X,36689
210100,733134,X,175952
211100,131999,X,31679
210800,235522,X,56525
211400,281196,X,67487
211000,185481,X,44515
211200,302797,X,72671
210700,310317,X,74476
210900,193633,X,46471
210300,378015,X,90723
500000,3298649,J,791675
610400,538983,D,129356
611000,243961,D,58550
610900,303414,D,72819
610300,381096,D,91463
610600,229069,D,54976
610800,362277,D,86946
610700,380432,D,91303
610500,557584,D,133820
610100,794669,D,190720
610200,86009,D,20642
632600,17334,F,4160
630200,160613,D,38547
632200,28195,D,6767
632500,45547,D,10931
632800,42841,F,10282
632700,37411,F,8978
630100,196666,D,47200
632300,25672,D,6161
230900,91589,X,21981
230700,125621,X,30149
230800,284161,X,68198
230500,149893,X,35974
230100,931692,X,223606
232700,53080,X,12739
230600,281768,X,67624
231000,267549,X,64211
231200,594984,X,142796
230300,186108,X,44666
230400,107520,X,25804
231100,176011,X,42242
230200,574951,X,137988
522700,323302,G,77592
520100,429741,G,103137
520400,237968,G,57112
419001,72726,E,17454
460300,233,M,56
659005,7419,C,1780
659006,24850,C,5964
659007,10393,C,2494
659008,25655,C,6157
659009,5700,C,1368
